Date,Group,TopicType,Url,Title,PageViews,PageViewsLast,MoM,Visitors,MCPCalls,KSCalls,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Drilldown,Trends,Freshness,MSUpdateCycleDays,DaysUntilStale,LastReviewed,LastPublished,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,Average of ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,CSAs,Title_Normalized,PageViews_Normalized,TopicType_Normalized,Group_Normalized,Platform,ContentSource,SourceFileType,InputFile,Content Type,Asset ID,URL,PVs MoM,Page Views,Visits,Bounce Rate,Clickthrough Rate,Exit Rate,Play Scroll Interact Rate,Helpful Rate,Author,Scroll Rate,Same Page Interaction Rate,Copy Rate,Primary Content Interaction Rate,Share Traffic Rate,Contact Us Rate,Download Rate,Growth Impresssions Rate,Growth CTA Rate,Growth Banner Dismiss Rate,Organic Search Rate,Direct Traffic Rate,Microsoft Traffic Rate,External Traffic Rate,Social Media Traffic Rate,FreshNess,AIReadiness,AIReadiness_WeakestDim,AIReadiness_TotalRecs,AIReadiness_ByDimension,Retrievability,Retrievability_Retrieved,Retrievability_Total
March 2026,Concepts,overview,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-zero-query-logging,Zero Query Logging Overview,5,,Infinity,2,,,H,0.0,,,100.0%,40.0%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-efdb930a-8d9c-9250-c453-5d37117d4b55&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-efdb930a-8d9c-9250-c453-5d37117d4b55&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180.0,159.0,2026-03-17,2026-03-28,0,0.0%,100.0%,0.0%,0.0%,0.0%,0%,0%,100%,3/20/2026,davidedwards,No,,efdb930a-8d9c-9250-c453-5d37117d4b55,"[""ai-business-solutions""]",Zero Query Logging Overview,5,overview,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2026,Concepts,article,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/evaluations-custom-strategy,Create a custom evaluation strategy for your Employee Self-Service agent,14,,Infinity,14,10,17,L,2.0,28.6%,35.7%,64.3%,64.3%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-fad15081-2e28-4cad-c9f6-0c494ef09252&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-fad15081-2e28-4cad-c9f6-0c494ef09252&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,0.0,350.0,2026-03-23,2026-03-23,2,14.3%,35.7%,50.0%,0.0%,0.0%,0%,0%,64%,3/23/2026,hokavian,No,,fad15081-2e28-4cad-c9f6-0c494ef09252,"[""ai-business-solutions""]",Create a custom evaluation strategy for your Employee Self-Service agent,14,article,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/workday-sub-filter-support-config,User context sub-filter support configuration for Workday integration with Employee Self-Service agent,18,10,80%,10,,,H,0.0,,83.3%,90.0%,,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-9656fa0e-5539-8135-628d-71515a6e589d&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-9656fa0e-5539-8135-628d-71515a6e589d&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,0.0,212.0,2025-11-05,2026-03-20,0,0.0%,0.0%,100.0%,0.0%,0.0%,0%,0%,90%,11/5/2025,heidip,No,,9656fa0e-5539-8135-628d-71515a6e589d,"[""ai-business-solutions""]",User context sub-filter support configuration for Workday integration with Employee Self-Service agent,18,how-to,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,heading_hierarchy,1.0,"{""heading_hierarchy"": 1, ""chunk_autonomy"": 0, ""context_completeness"": 0, ""entity_normalization"": 0, ""disambiguation"": 0, ""structured_data_utilization"": 0}",,,
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/workday-output-support-config,User context output support configuration for Workday integration with Employee Self-Service agent,24,10,140%,15,2,3,H,1.0,12.5%,54.2%,73.3%,16.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-2ea5c405-b79a-5293-c3c6-dd139e5a5bb3&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-2ea5c405-b79a-5293-c3c6-dd139e5a5bb3&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,0.0,212.0,2025-11-05,2026-03-20,0,0.0%,16.7%,83.3%,0.0%,0.0%,0%,0%,73%,11/5/2025,heidip,No,,2ea5c405-b79a-5293-c3c6-dd139e5a5bb3,"[""ai-business-solutions""]",User context output support configuration for Workday integration with Employee Self-Service agent,24,how-to,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,heading_hierarchy,5.0,"{""heading_hierarchy"": 1, ""chunk_autonomy"": 1, ""context_completeness"": 1, ""entity_normalization"": 1, ""disambiguation"": 0, ""structured_data_utilization"": 1}",,,
March 2026,Support,legal,https://learn.microsoft.com/en-us/legal/m365-copilot-agent-eval-tool/license-terms,MICROSOFT SOFTWARE LICENSE TERMS (preview),25,15,67%,25,39,61,L,2.0,56.0%,,40.0%,84.0%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-22e89229-fd51-fd42-39f5-23b602df6c26&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-22e89229-fd51-fd42-39f5-23b602df6c26&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,0.0,277.0,2026-01-09,2026-01-09,7,28.0%,52.0%,16.0%,4.0%,0.0%,4%,0%,40%,1/9/2026,sakov,No,,22e89229-fd51-fd42-39f5-23b602df6c26,"[""ai-business-solutions""]",MICROSOFT SOFTWARE LICENSE TERMS (preview),25,legal,Support,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,heading_hierarchy,4.0,"{""heading_hierarchy"": 1, ""chunk_autonomy"": 1, ""context_completeness"": 1, ""entity_normalization"": 1, ""disambiguation"": 0, ""structured_data_utilization"": 0}",50.0,5.0,10.0
March 2026,Concepts,overview,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/whats-new-history,What's New Archive for Microsoft 365 Copilot Extensibility,27,14,93%,27,30,40,L,3.0,55.6%,3.7%,44.4%,63.0%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-bec1cf35-cde8-45b7-28ff-918e655d5342&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-bec1cf35-cde8-45b7-28ff-918e655d5342&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180.0,148.0,2026-03-06,2026-03-06,11,40.7%,55.6%,3.7%,0.0%,0.0%,0%,0%,44%,6/3/2025,lauragra,No,,bec1cf35-cde8-45b7-28ff-918e655d5342,"[""ai-business-solutions""]",What's New Archive for Microsoft 365 Copilot Extensibility,27,overview,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2026,Concepts,article,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/emotional-quotient-ambiguity,Emotional intelligence and ambiguity in Employee Self-Service,29,56,-48%,25,41,46,H,0.0,3.4%,75.9%,84.0%,13.8%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-8a9818b2-39f3-6380-9244-cec8942cb259&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-8a9818b2-39f3-6380-9244-cec8942cb259&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,0.0,212.0,2025-11-05,2026-03-20,1,3.4%,6.9%,89.7%,0.0%,0.0%,0%,0%,84%,11/5/2025,heidip,No,,8a9818b2-39f3-6380-9244-cec8942cb259,"[""ai-business-solutions""]",Emotional intelligence and ambiguity in Employee Self-Service,29,article,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,heading_hierarchy,6.0,"{""heading_hierarchy"": 2, ""chunk_autonomy"": 1, ""context_completeness"": 1, ""entity_normalization"": 2, ""disambiguation"": 0, ""structured_data_utilization"": 0}",50.0,5.0,10.0
March 2026,Concepts,article,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/evaluations-run-tests,Run different kinds of tests using the Copilot Studio evaluator tool,29,,Infinity,22,31,69,L,2.0,24.1%,37.9%,63.6%,62.1%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-e8c1d26c-482a-9377-38e1-f84a2658f9cd&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-e8c1d26c-482a-9377-38e1-f84a2658f9cd&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,0.0,350.0,2026-03-23,2026-03-23,8,27.6%,51.7%,20.7%,0.0%,0.0%,9%,0%,64%,3/23/2026,hokavian,No,,e8c1d26c-482a-9377-38e1-f84a2658f9cd,"[""ai-business-solutions""]",Run different kinds of tests using the Copilot Studio evaluator tool,29,article,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/workday-share-support-config,User context share support configuration for Workday integration with Employee Self-Service agent,30,14,114%,15,2,2,L,2.0,16.7%,66.7%,60.0%,16.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-ad773a31-c518-32cf-eabd-22f5eb81152f&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-ad773a31-c518-32cf-eabd-22f5eb81152f&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,0.0,212.0,2025-11-05,2026-03-20,0,0.0%,16.7%,83.3%,0.0%,0.0%,0%,0%,60%,11/5/2025,heidip,No,,ad773a31-c518-32cf-eabd-22f5eb81152f,"[""ai-business-solutions""]",User context share support configuration for Workday integration with Employee Self-Service agent,30,how-to,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,context_completeness,3.0,"{""heading_hierarchy"": 1, ""chunk_autonomy"": 0, ""context_completeness"": 2, ""entity_normalization"": 0, ""disambiguation"": 0, ""structured_data_utilization"": 0}",,,
March 2026,Concepts,how-to,https://learn.microsoft.com/en-us/copilot/microsoft-365/employee-self-service/workday-filter-support-config,User context filter support configuration for Workday integration with Employee Self-Service agent,40,21,90%,21,14,15,H,1.0,15.0%,57.5%,57.1%,30.0%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-f8a0a1c3-e622-74e8-051f-555a4a799632&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-f8a0a1c3-e622-74e8-051f-555a4a799632&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,0.0,212.0,2025-11-05,2026-03-20,4,10.0%,15.0%,72.5%,2.5%,0.0%,29%,0%,57%,11/5/2025,heidip,No,,f8a0a1c3-e622-74e8-051f-555a4a799632,"[""ai-business-solutions""]",User context filter support configuration for Workday integration with Employee Self-Service agent,40,how-to,Concepts,learn,Microsoft Learn,markdown,LMC_Monthly_Engagement_Metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,context_completeness,7.0,"{""heading_hierarchy"": 1, ""chunk_autonomy"": 1, ""context_completeness"": 2, ""entity_normalization"": 2, ""disambiguation"": 1, ""structured_data_utilization"": 0}",,,
